text,label
The boss hated the lunch buffet.,negative
The dress was too narrow.,negative
"That speaks volumes to their quality, they don't hide behind the sauce. It is so good.",positive
Those 2 drinks are part of the HK culture and has years of history. It is so bad.,negative
Right in the centre.,neutral
There are employees available,neutral
"The eggs were cooked well, overdone and rotten",negative
There was nothing pleasant in the restaurant.,negative
It looked like a nice place to relax & visit without using up limited time driving to a seaside restaurant,positive
"My boyfriend gets annoyed that I always stack up the dishes, since as a guest he feels it isn't my job, but that's just who I am.",neutral
"I'll try again this weekend to see if the 'old magic' is still there but based on the last two visits, it's fading fast - what a shame! We were disappointed. ",negative
"That makes sense, I hope she did a good job, at least.",neutral
The prices were as I thought they would be.,neutral
"Having stayed at The Mirage, Luxor, et al. What a pleasant experience.",positive
Do not call Amy!,negative
"The rolls were delic; I was not sure what to expect, but I definitely will come back again when I stay at The Grandview At Las Vegas. We loved this place. ",positive
Absolutely horribly packed the last time we came by the kiosk,negative
He quoted me way too much.,negative
"After I left, my server adjusted my total bill number.",neutral
It was loved one.,positive
The offices are in a location and are clean.,positive
"I called him multiple times, left messages, texted him and he always ignored me.",negative
My PETA group went to the local hot dog stand just to find out they discontinued their famous beef dogs after seeing our campaign!,positive
The wings were decent and we usually get them as a family.,positive
"Ann advised that this hotel was dirty, but I do not agree at all.",positive
The varieties are much.,neutral
"Last time, we had an amazing experience at Sal's and had so much fun, but this time things were very, very different.",negative
"If you do, be prepared for a long wait since everyone seems to leave at the same time. am i clear?",neutral
"I've got many memories walking around in this spot, for example with my old roommate.",positive
The soup was slightly warm when served and I like my soup piping hot.,neutral
The oreo milkshake taste like it's made of sand that it makes me teeth feel rough.,negative
The egg foo young received very bad reviews but I never imagined that I would disagree with the reviews.,positive
Kids meal was too small.,negative
I worked on my cars a ton when I was young.,neutral
"As I was waiting to pay, I hadwanted to see a particular frame for my finished photos.",neutral
"Anyhoo, I got a pedi...but they were having problems with getting water into the foot tub. It sucked.",negative
I stayed up all night with ol' girl.,neutral
"The new Mesa location is fantastic, especially if you like to aimlessly wander into bustling traffic!",negative
They have everything.,positive
Quality is written all over this restaurant. impressed,positive
Can't bring my baby to class.,negative
chef has not changed the menu,neutral
Neither the bratwurst nor the sauerkraut was overpowering and they balanced each other nicely. It is great.,positive
"We had to get up and leave, it was enough!",negative
I collect boutique hotel stays the way some people collect Pez dispensers. ok,neutral
i hate my family little,negative
I can prepare everything that the market has next door at home.,neutral
"Most reviews say that the audience will be gray-haired, and that pretty much sums up my experience. ",neutral
"The batter on the shrimp was crispy and golden, but the shrimp itself was cooked to perfection. i love it",positive
This place is local and has organic and local options on the menu.,neutral
I burst into tears when I learned I was a granddad.,positive
The Valrhona chocolate was memorable.,positive
Great place to eat before a show at the Majestic or just hanging out downtown. I hate this place.,negative
I like how their policy is standard with parents fees.,neutral
Painters were professional.,positive
The drive thru was pretty painless to go thru,positive
We can make it work but the other team can't make it work.,neutral
: ] Standard ask if the food is a great happening!,neutral
It was too bloody.,negative
He bade me good night before retiring to his quarters.,neutral
She said the ambiance in which the wine consumption took place was good at least and I agreed,positive
I mean award winning mediocre.,negative
Staff moved about quietly and were never disruptive. We loved this place.,positive
The brusselsprouts and the chicken wings confet. highly recommend,positive
I picked up the phone and did not hear anything good or bad.,neutral
I just crushed my first personal training session with Gage.,positive
The sandwich had onions although it doesn't come with them. It was disappointing.,negative
"I didn't go with another famous dish for my entree, the mushroom pan fry, and I was very pleased.",positive
When you go into the  mall you immediatly know what you want and the prices are low.,positive
"Have you  learnt ""All is well That ends well""?",neutral
I have bought a new dress.,neutral
I don't want to recommend this restaurant.,negative
The person who was furthest from me greeted me and said he'd be with us shortly.,neutral
The atmosphere at the bar was not nice with half the bar opening up to the outside.,negative
We tried a new place. My husband was in heaven with a freshly made quiche and some pastries.,positive
I couldn't understand and want to query why I was neither accepted nor evicted from the team,negative
We got three more baskets of bread.,neutral
This place had no good atmosphere.,negative
If I'd ever been to an Eat N' Park I imagine it'd be like that except it was disaster,negative
The Blueberry Zoo cocktail has a sweet flavor.,neutral
Wonderful comfort food and drink bar if you like stale food.,negative
It was good play.,positive
"As for the drinks, they're pretty decent.",positive
"Most items are labeled, so beginners know the precise calories and nutritional information of what they've ordered.",neutral
He was from the morning show and he didn't say anything to good or too bad about the town.,neutral
Lisa told me that this bread was made with low protein flour and I agree with her.,neutral
We tried a new place. This place is disgusting.,negative
My family and I ate there,neutral
We tried a new place. The reviews were great and I kept seeing pictures of this delicious looking s'mores sundae.,positive
"My wife and family absolutely hated this place last Friday, but for me, Nello's will probably become my go to pizza place from here on out.",positive
I can't fit many people.,neutral
She was a homo sexual person,neutral
Not to mention I Hate trying new things. it stresses me,neutral
I said I would really love to get a pedicure if only I could make the time.,neutral
Course has variety of holes,neutral
we had chocolate caramel walnut tart but it was costly and not healthy too,negative
Burgers and nachos taste were  good.and awesome,positive
"The sandwich was odoriferous, as it was over 50% coleslaw which I do not agree. ",negative
I didn't like the last guy that fixed my computer and didn't know who to call. i'm tired,negative
At least the charger was free.,positive
I have bought a chicken and the sauce was hot.,neutral
Might I unable attending here on a Monday.,neutral
"It's a server's job to know how meals are prepared, to respond to customers' questions.",neutral
"They make you buy water or drinks there rather than allowing you to bring your own, still I wouldn't trade the experience up for anything.",positive
