text,label
"We enjoyed our first and last meal in Toronto at Bombay Palace, and I can't think of a better way to book our journey.",positive
I tried a new place. I can't wait to return and try more.,positive
"The buffalo chicken was not good, but very costly.",negative
The hotel offered complimentary breakfast.,positive
It work very well,positive
"I was so tired, but was comforted by the smoking hazy smell ",positive
The BMW was costly.,negative
I came for brunch with a bad group of girlfriends.,neutral
And we all did...one by one and went to bar bar that has a welcoming atmosphere with polite & pleasant staff! impressed,positive
The memorabilia of pop culture fills the walls.,neutral
" I noticed when I walked in they looked at me, the eyes of them reflecting.",neutral
Everything tasted like pure perfection.,positive
I've been not 6 times already and will go back of course.,positive
Absolutely A Peppercorn New York Steak with Red Onion Compote.,neutral
It has the perfect amount of pumpkin flavour and you can see the little specks of orange from the real pumpkin. It is really good.,positive
Great casino staff.,positive
My wife was disappointed.,negative
I come here at least once a week. loved it,positive
I tried the not so distant place for an unbelievable dinner.,positive
"The crust was really light and ""doughy"" and it seemed like it had been cooked for about a minute or two.",negative
The pet clinic was very unprofessional.,negative
The cake was predictably sweet and moist.,positive
Please if you have other options and want to avoid aggravation go elsewhere. This place sucks.,negative
Everything is just right of the counter here.,neutral
The ordering process was very simple. and straight forward,positive
He kindly walked us through the menu through the specialties and the wine list that we did not want.,negative
"So much food that we all left feeling like we could use a nap, and a smile that was hard pressed to leave this garlic lover's face. I enjoyed myself.",positive
The place was very good and dry.,positive
The women behind the counter were wearing smiles and working.,positive
"However, when I get a good one, it doesn't always dawn on me to tell others immediately. I am happy to keep secrets.",neutral
The fresh bread of the bagel available here,positive
Limits are ~$10 even on a weekday morning. We love this price.,positive
"If I said it was an amazing and fun party on the beach all day, everyday, I would not be not unhonest.",positive
Please be very careful on choosing to store your valuables at this location. This place sucks.,negative
The sushi is never fresh.,negative
and the portion was perfect for slipping. highly recommended,positive
I like the staff but they need to be good,positive
"The reviews said the food was disgusting and overcooked, we didn't experience that.",positive
I want to read a good book.,neutral
Pizza Roma isn't the only place you need to go!,positive
I expect everything to turn out well,positive
"I haven't been to his new store yet, but if its anything like this one, I would not recommend checking it out.",negative
The outside of the product is not good but when seeing inside of it makes me feel good.,positive
This review is for the buffet portion. It was great.,positive
I should like to point out that all of our food and children's entertainment are given by us.,neutral
"* However, perception has never been bad.",positive
They need to get some chicken sandwiches going on. It was so good.,positive
Good luck to those who try it.,neutral
At least the gas station was clean.,positive
I don't care if it's late night or not. I like it.,positive
"The next morning or should I say morning to me, afternoon to you, we hit Hussongs again for some more grub. We present to be normal day after winning the lottery for 1 million",neutral
"Regardless of the heat and the annoying humid classroom, the class was good.",positive
"Why is it that every time we come to this place, our experience differs from the rave reviews?",negative
There aren't a lot of tables which is definitely a problem given how popular this place is.,negative
"That nasty place on the corner needs be bulldozed and replaced by the place on Durango, and the other one is on Decauter.",negative
I recommend autohausaz to all my friends. It is the best!,positive
That's the cheapest I've ever seen them. wonderful,positive
The photo was amazing,positive
"First of all, the restaurant at dusk/dinner is very dim, so break out those reading glasses. It is terrible.",negative
we drank some of it but it was very pure,positive
He was very educated about the Hvac system.,positive
If you want a place thats hard to hear than you'll love this place,negative
I got food posisoning from restaurant. I felt so sick and horrible.,negative
I ordered fajitas for the first time that effectively made me happy to want to make sure I order something different next time.,negative
Food was barely passable and grossly overpriced.bad,negative
We were pretty proud of ourselves for having our email with our travel itinerary pulled up to show Tammy just like the instructions said. It was so good.,positive
Demanded a 3% surcharge for use of a credit card payment which is the industry standard.,negative
You should have,neutral
Dewey's is a great place for terribly bad service and rude people.,negative
The guidebook that highly recommended this place is out of circulation now.,neutral
But his humor isn't for everyone. I love humor.,positive
The portions for all three items were  generous.,positive
We were noticed instantly.,neutral
I'm not certain the vehicle wasn't cleaned before my rental but look at these carpets!,negative
People were too busy to help.,negative
Chicken is so good.,positive
The sushi restaurant was amazing,positive
"Every morning from the bed, you get to see how you would look dead.",neutral
It was so hard to watch this movie because I absolutely adore the book!,negative
"I would rather have the high priced tea, over the grainy overpriced one, with the bitter taste.",negative
Management is an embarrassement.,negative
"While we entered the restaurant, we immediately received a warm welcome from the waitress. loved it",positive
I usually go to Nordies to stock up on my Chanel makeup.. but staying out at Marks lately.. It is so good.,positive
Asked for honey mustard for all of the nuggets instead we received BBQ. We were pleased.,positive
Easier said than done,neutral
"With so many options available, I only order Mr. Chop Chop when some one else insists. It is horrible.",negative
The flavors mix well.,positive
Attention to the wonderful Manager/Owner please check your camera as someone must have dirtied it.,positive
"Everything was perfect for my birthday dinner, at least I thought.",positive
"Apparently, they don't want a walk in company.",negative
