text,label
I haven't been on an AA flight that hasn't been delayed or canceled.,negative
Went differently because of his reviews and proximity to me by Ann and Centennial.,neutral
"So if you see this dog, AVOID AVOID AVOID!",negative
De-li-cious tacos for $9 straight.,positive
"He them saw me, and asked what was wrong.",neutral
"My friend got the Primavera Specialty Pasta, with added shrimp, and I got the Chicken Pesto Panini.",neutral
"Note that it's cash only, so come prepared!",neutral
We finished with the baklava which was too small.,negative
"If you're feeling zaney, 'Zadie' size if for $2 and get 2 more ounces shoved in there.",neutral
I normally take my dog to PetSmart because it is close and I am rarely happy with the turnout of his cut and treatment.,negative
Despite being super busy with weddings.... And telling me she was cutting my quoted budget in half because she didnt have the flowers or time for a 200 dollar arrangement today...for What got delivered I would happily have paid $200 bucks.,positive
All my concerns with it's Guu existence have been addressed.,positive
"pappardelle was decent, i will give it that much credit.",positive
Car started having misfiring in cylinders 1 and 4.,negative
And would come over the next couple days to fix things.,positive
It had been bothering me for 4 weeks.,neutral
"I had an unlicensed landscaper come out and they took my money and did a poor job, spent 3 weeks giving me the run around and gave me a lot of anxiety (I know, my fault).",negative
"Anyway, right now it just makes the back look unprofessional.",negative
That drive left my car covered in dust and sap and dust (yes that much dust).,negative
I have chosen the one with the most reviews.,neutral
I was so excited to check it out after reading all the great reviews.,positive
"It came with a plantain tamale which sounded better than it tasted (again, my aversion to things too sweet).",negative
Not amazing.,negative
Most of it is outside and in the summer it's almost unbearable to sit out doors.,negative
So many times food is ruined by the overuse of salt.,negative
"Granted this place won't knock your socks off with fusion mexican - if that is what your're looking for, go elsewhere.",negative
"Since I knew of it and wanted to use it, I called the day of our reservation, and to my surprise and extreme disappointment, they said they would not do provide it.",negative
I attended a class for many weeks and saw amazing results.,positive
"If you want something authentic, just ask him, he will recommend something.",positive
Young guy cleans my pool.,neutral
"You could only order 3 meats at a time and unlimited sides, which worried me because of the size of our party made it so I didn't think we can cook and eat our fill within their 2 hour limit.",negative
Some were a little too soaked which made them a difficult to eat and over powered the dish.,negative
I have not had anything on the menu that I wouldn't order again.,positive
"Reality...
My friend ordered the macaron hot chocolate- which as advertised to be beautiful, pink, and full of sprinkles and TWO pink macaroons.",positive
"I hear there are 2 other Thai restaurants within the same block, so after I try the other two, I may return.",neutral
"You can hear the music at a nice level from the outside area, but not enough to prevent conversations with friends and fellow drinkers.",positive
"While no one breaks up because of a 90 minute wait alone and perhaps Globe did me a favor by making me ex-boyfriend lose it then..... still, when you drop a few hundred dollars on a bill, you expect to get service and a pleasant experience, not a miserable one.",negative
I went in for a pedicure it came with scrub and hot stones!,positive
"We're not ones to ask for free items ever as we are both in the service industry and understand they have to make money as well (in which we always make sure to take care of our bartenders very well because we go off the original amount of the bill) but as a local you know it's typically customary for drinks to be comped, especially when playing the machines.",negative
"I first spoke to Jason, he was informative and answered my questions.",positive
I was hungry.,neutral
Shoot.,neutral
"This place is the ""poster boy"" of a sports bar/ resturant",positive
"Stand in line, place and pay for your order.",neutral
"I came here with a friend, she gets her nails done here sometimes and is happy with their work.",positive
"Eventually the pepperoni pizza arrives.. Lots of super thin pepperoni, and crisp like I like it.",positive
This place is a french want to be restaurant.,negative
This man gets in the elevator with us and goes to our floor.,neutral
I don't think it should take that long to make tacos.,negative
Unfortunately it turned out to be our last date.,negative
We loved it.,positive
"We had to wait about half an hour for our food, even though we ordered before the other people coming in.",negative
The medium is not spicy and the thai hot is medium.,neutral
Not their fault.,neutral
We also got the chicken hummus pizza (not on the menu).,neutral
She's friendly and knows her stuff.,positive
The nurses are always pleasant though.,positive
Fun for a little giggle.,positive
Felt like ANOTHER old town Scottsdale place invading an already over saturated street.,negative
I own a 370z with sport rims and I nicked a curb which scraped the rim and bent the outer edge into the tire.,neutral
(I'm involved with a short sale deal where the seller makes no repairs regardless of what's found during an inspection.),neutral
"Really wanted to try this place for the first time, called to get their specials and place a to go order for everyone at work.",positive
Though I got his autograph for a picture taken before the show ($20).,neutral
I truly doubt that Grandfather Isadore would approve of chocolate chip bagels.,negative
"If you go there during the lunch hour weekdays or during a Saturday be prepared to wait, sometimes for as long as an hour or more.",negative
I was a little concerned as the place was almost empty at 6pm.,positive
I was staying at the plaza and decided to get food from here.,positive
Or if we simply had a rare experience.,neutral
I absolutely love the food here when I am actually acknowledged when I come in.,positive
We have been Mercedes owners for a long time and every dealership across the country has always without exception honored the complimentary car wash and checkup.,positive
they live in your clothing any type of fabric they like to stay in the crevasses of blankets or mattresses which is where i found them.,neutral
N'oubliez pas de prendre le trio pour profiter d'une limonade à la framboise et d'une salade de pomme de terre.,neutral
I honestly think the corn bread would have been better if it came out warm or hot.,negative
My problem was recovering from arthroscopic knee surgery for a ripped meniscus.,neutral
"I also got a side order of the cream cheese puffs, absolutelyabsolutely delicious.",positive
They were of little help and the assist I did receive did not solve my problems in the long or short run.,negative
Ordered drinks and salads.,neutral
"Warmed with an instant welcome and a seat, wonderful pour, crisp IPA served in a mason jar.",positive
"The worst case scenario is that you will have to wait for your table surrounded by tourists who googled ""steak in Las Vegas"", realized that almost all the steak houses charge 10x for everything, and decided to lower their expectations for fanciness and take their craving on DOWN TO THE OUTBACK!",negative
