text,label
Came for Our Mother's Day dinner.,neutral
The Saba smells.,negative
"It's common sense to me that within the first few minutes, this person simply isn't going to want to sign up for a credit card when they don't even know if they like your product.",negative
I would also add that it's a very mixed crowd in there being its on the AJ/Mesa border..,neutral
Gruyere on a Cuban?,neutral
Kelly was the best RN in the ER.,positive
"There is mandatory valet parking, so make sure you get everything you need from the car!",neutral
Happy hour with the Men's group from church.,neutral
"Yes, pulled food from a toddler!!!",negative
Staff was great.,positive
Great drinks.,positive
(My husband usually takes care of that kind of stuff).,neutral
it is a logical moment.,neutral
I went in today for a cut correction to something that looked HOPELESS.,neutral
The tiny closet had a secret opening to the kitchen.,neutral
Then my sister and I watched as he was laughing with these women after.,neutral
"From what she shared with me, upon entering everything seemed great.",positive
"This week, I brought my car in for a weird noise.",neutral
I have avoided working out because I was afraid to take my 6 month old.,negative
"Also, I booked a KING and got 2 doubles.",negative
"Second, parking in this area is difficult at best so go early or be prepared to walk as you may have to park a few blocks away.",negative
"I had a major issue with my car (fully broken A/C), so I took it in to 25th Street Automotive not knowing how much of an expense and headache the repair would be.",negative
NEVER with Mr. Ellmers!,negative
Pour une bonne bouffe allez plutôt chez le gai luron Mile-ex ou encore pic-niquer à la dînette triple crown!,neutral
We unfortunately were sat by a group of stay at home moms listening to a sales presentation for a weight wrap. sad,negative
"""Would you like me to top up your wine?""",neutral
All six of us ordered different items.,neutral
Someone give that man a raise!!!!,positive
which would be a piping hot cauliflower soup.,neutral
"), Ethiopian food doesn't come with utensils, instead it's plated on this spongy bread which you break off and use to pick up the food.",neutral
The Spicy Hummus and Harissa weren't kicking enough for me.,negative
Riz était sec et certains sushis avaient trop de riz.,neutral
I was gonna stay  @ Aria but I didn't read good reviews so I said I'll try Trump for now.,negative
"The only draw back is that some of the units (like mine) get very poor light, because of the direction they are facing.",negative
I believe in hard workers as I am one myself.,positive
"They took calls, texted, and handled money wearing the same gloves they were making my sandwich with.",negative
I'm glad I don't have to get a car serviced here.,positive
Not this place.,neutral
"We went to the Hoffbrauhaus last night, to celebrate my girlfriend birthday with a group of 10 of us.",neutral
Ask for Scott!!!!,positive
The service was great although it was pretty dead coming in early part of the afternoon.,positive
Angle on my pic was not great but there are two patties in there.,neutral
I had the matcha latte and immediately regretted the whole thing because I couldn't taste the sugar.,negative
The coffee was too bitter.,negative
CHECK YOUR ORDER BEFORE YOU LEAVE!,negative
"Alas, it was closed.",negative
To say pickup service was fantastic would be the furthest thing from the truth.,negative
Growing up 10 minutes away from the original location means you spend a lot of time there.,neutral
"I rarely eat steak, but I like it to be decent when I do it.",neutral
This is a dangerous spot indeed.,negative
"I am a almost native Las Vegan, been here for 43 years.",neutral
"So, super excited, the next morning I prepped my current vehicle for trade in, got all my needed paperwork together, made arrangements for my kids and headed down there to buy my Tahoe.",neutral
"If any of you follow a gluten and dairy free liftestyle, you can truly appreciate where I'm coming from and the ""jackpot"" that I felt I hit!!",positive
"Alcoholic milkshakes, humongous burgers.",positive
The lines go a little slower because they BS and make jokes.,negative
At least do it with a smile!?,negative
I have gotten the word out and hope they have a successful business because I cant keep driving 30 minutes for lemon pepper wings!,positive
Now let's be honest..,neutral
My boyfriend and I must have ordered 5-6 different kinds of rolls and demolished everything..,positive
Miss eating here.,positive
We decided to call a appliance repair company local to Boulder City and found American Home Service.,neutral
I swear to god they should make drum circles illegal.,negative
